mode,N,threads,run,seconds
omp_cuadrantes,20000,1,1,0.597208
omp_cuadrantes,20000,1,2,0.594779
omp_cuadrantes,20000,1,3,0.615066
omp_cuadrantes,20000,1,4,0.595754
omp_cuadrantes,20000,1,5,0.596739
omp_cuadrantes,20000,1,6,0.593553
omp_cuadrantes,20000,1,7,0.592232
omp_cuadrantes,20000,1,8,0.591733
omp_cuadrantes,20000,1,9,0.592605
omp_cuadrantes,20000,1,10,0.620395
omp_cuadrantes,20000,4,1,0.226448
omp_cuadrantes,20000,4,2,0.224224
omp_cuadrantes,20000,4,3,0.224083
omp_cuadrantes,20000,4,4,0.223268
omp_cuadrantes,20000,4,5,0.231960
omp_cuadrantes,20000,4,6,0.222690
omp_cuadrantes,20000,4,7,0.223409
omp_cuadrantes,20000,4,8,0.223304
omp_cuadrantes,20000,4,9,0.223693
omp_cuadrantes,20000,4,10,0.224156
omp_cuadrantes,20000,8,1,0.187064
omp_cuadrantes,20000,8,2,0.193427
omp_cuadrantes,20000,8,3,0.188513
omp_cuadrantes,20000,8,4,0.182866
omp_cuadrantes,20000,8,5,0.187803
omp_cuadrantes,20000,8,6,0.184594
omp_cuadrantes,20000,8,7,0.189784
omp_cuadrantes,20000,8,8,0.194590
omp_cuadrantes,20000,8,9,0.184764
omp_cuadrantes,20000,8,10,0.188795
omp_cuadrantes,20000,16,1,0.193336
omp_cuadrantes,20000,16,2,0.183386
omp_cuadrantes,20000,16,3,0.187765
omp_cuadrantes,20000,16,4,0.188880
omp_cuadrantes,20000,16,5,0.185091
omp_cuadrantes,20000,16,6,0.183568
omp_cuadrantes,20000,16,7,0.193589
omp_cuadrantes,20000,16,8,0.183559
omp_cuadrantes,20000,16,9,0.195055
omp_cuadrantes,20000,16,10,0.192141
serial,40000,1,1,2.179279
serial,40000,1,2,2.189864
serial,40000,1,3,2.190104
serial,40000,1,4,2.173334
serial,40000,1,5,2.217624
serial,40000,1,6,2.166894
serial,40000,1,7,2.171032
serial,40000,1,8,2.172460
serial,40000,1,9,2.169228
serial,40000,1,10,2.158398
omp_indivisible,40000,1,1,2.343158
omp_indivisible,40000,1,2,2.435708
omp_indivisible,40000,1,3,2.317512
omp_indivisible,40000,1,4,2.334566
omp_indivisible,40000,1,5,2.317191
omp_indivisible,40000,1,6,2.366399
omp_indivisible,40000,1,7,2.315815
omp_indivisible,40000,1,8,2.354738
omp_indivisible,40000,1,9,2.368483
omp_indivisible,40000,1,10,2.337014
omp_indivisible,40000,4,1,0.849458
omp_indivisible,40000,4,2,0.901645
omp_indivisible,40000,4,3,0.931451
omp_indivisible,40000,4,4,0.854888
omp_indivisible,40000,4,5,0.868444
omp_indivisible,40000,4,6,0.855966
omp_indivisible,40000,4,7,0.851772
omp_indivisible,40000,4,8,0.840833
omp_indivisible,40000,4,9,0.888688
omp_indivisible,40000,4,10,0.903364
omp_indivisible,40000,8,1,0.721731
omp_indivisible,40000,8,2,0.707689
omp_indivisible,40000,8,3,0.697154
omp_indivisible,40000,8,4,0.721320
omp_indivisible,40000,8,5,0.704950
omp_indivisible,40000,8,6,0.696657
omp_indivisible,40000,8,7,0.704823
omp_indivisible,40000,8,8,0.693496
omp_indivisible,40000,8,9,0.690824
omp_indivisible,40000,8,10,0.681253
omp_indivisible,40000,16,1,0.744964
omp_indivisible,40000,16,2,0.717951
omp_indivisible,40000,16,3,0.825897
omp_indivisible,40000,16,4,0.761083
omp_indivisible,40000,16,5,1.060539
omp_indivisible,40000,16,6,0.763861
omp_indivisible,40000,16,7,0.704439
omp_indivisible,40000,16,8,0.682254
omp_indivisible,40000,16,9,0.691593
omp_indivisible,40000,16,10,0.708701
omp_cuadrantes,40000,1,1,2.397103
omp_cuadrantes,40000,1,2,2.366777
omp_cuadrantes,40000,1,3,2.388827
omp_cuadrantes,40000,1,4,2.381537
omp_cuadrantes,40000,1,5,2.356983
